987	speech recognition systems	TRUE	definitely good
987	speech recognizer	FALSE	definitely good
987	robust speech recognition	FALSE	definitely wrong	is not a system, more like an algorithm
		Overall	definitely wrong
		
1760	multi-core processor	TRUE	definitely good
1760	multi-core processors	FALSE	definitely good
1760	multicore processors	FALSE	definitely good
1760	multicore processor	FALSE	definitely good
		Overall	definitely good
		
2103	sensor data	TRUE	definitely good
2103	sensor device	FALSE	definitely wrong	not the data, but devices, so wrong
2103	sensor systems	FALSE	definitely wrong
2103	sensor readings	FALSE	probably good	sensor can also send information, so data != reading in 100%
		Overall	definitely wrong
		
1792	wireless communications	TRUE	definitely good
1792	wireless communication	FALSE	definitely good
1792	wireless communication technology	FALSE	definitely wrong
1792	wireless technologies	FALSE	definitely wrong	https://www.techopedia.com/definition/10062/wireless-communications
		Overall	definitely wrong	wireless communication is a type of communication, that unites wireless signals, devices, technologies, etc
		
1057	online social networks	TRUE	definitely good
1057	online social network	FALSE	definitely good
1057	on-line social networks	FALSE	definitely good
1057	online social networks (osns)	FALSE	definitely good
		Overall	definitely good
		
1766	linux	TRUE	definitely good	linux - os, based on linux kernel, so linux kernel is a part of linux system
1766	linux systems	FALSE	definitely good
1766	linux- operating system	FALSE	definitely good
1766	linux kernel	FALSE	probably wrong
		Overall	probably wrong
		
97	cognitive model	TRUE	definitely good
97	cognitive modelling	FALSE	definitely wrong
97	cognitive models	FALSE	definitely good
97	cognitive modeling	FALSE	definitely wrong
		Overall	definitely wrong	modelling is a bunch of activities aimed at producing a model
		
1952	spam	TRUE	definitely good	any undesired mass messaging
1952	spammers	FALSE	definitely wrong	a person
1952	spam filtering	FALSE	definitely wrong	a technology
1952	spam detection	FALSE	definitely wrong	a tech task
1952	spam filter	FALSE	definitely wrong	a technology
1952	spam emails	FALSE	definitely wrong	a type of spam
		Overall	definitely wrong
		
1576	watermarking algorithms	TRUE	definitely good
1576	watermark detection	FALSE	definitely wrong
1576	watermarked images	FALSE	definitely wrong
1576	watermarking schemes	FALSE	definitely good
1576	watermarking techniques	FALSE	definitely good
1576	watermark embedding	FALSE	definitely wrong
1576	watermark extraction	FALSE	definitely wrong
		Overall	definitely wrong	detection, embedding and extraction are parts of algos\techniques\schemes
		
1146	reverse engineering	TRUE	definitely good
1146	architecture reconstruction	FALSE	probably wrong
1146	architecture recovery	FALSE	probably wrong
		Overall	probably wrong	re may also be applied to design, small parts, specifications, databases and so on
		
1412	3d modelling	TRUE	definitely good
1412	3d modeling	FALSE	definitely good
1412	3d models	FALSE	definitely wrong
1412	3d model	FALSE	definitely wrong	modelling is a bunch of activities aimed at producing a model
		Overall	definitely wrong
		
1532	video surveillance	TRUE	definitely good	is a system that includes cameras
1532	surveillance cameras	FALSE	probably wrong
1532	surveillance video	FALSE	probably wrong
1532	video surveillance systems	FALSE	definitely good
1532	surveillance systems	FALSE	probably wrong	more general term than video
1532	surveillance system	FALSE	probably wrong
		Overall	probably wrong
		
1800	frequency selective fading	TRUE	definitely good
1800	frequency-selective	FALSE	definitely wrong
1800	frequency-selective fading channels	FALSE	definitely wrong
1800	frequency-selective fading	FALSE	definitely good
		Overall	definitely wrong
		
573	neurofuzzy system	TRUE	definitely good
573	neuro-fuzzy approach	FALSE	definitely wrong
573	neuro-fuzzy systems	FALSE	definitely good
573	neuro-fuzzy	FALSE	definitely wrong
573	neuro-fuzzy system	FALSE	definitely good
		Overall	definitely wrong
		
2202	social aspect	TRUE	definitely good	applies to a social part of some event\concept\thing - a general term
2202	social psychology	FALSE	definitely wrong
2202	social support	FALSE	definitely wrong
2202	social status	FALSE	definitely wrong
		Overall	definitely wrong
		
1506	microelectromechanical system	TRUE	definitely good
1506	microelectromechanical systems	FALSE	definitely good
1506	micro electro mechanical system	FALSE	definitely good
1506	micro-electrical-mechanical systems	FALSE	definitely good
1506	microelectromechanical systems (mems)	FALSE	definitely good
		Overall	definitely good
		
2171	chromosome translocation 8	TRUE	definitely good
2171	chromosome translocation 6	FALSE	definitely wrong
2171	chromosome translocation 1	FALSE	definitely wrong
2171	chromosome translocation 21	FALSE	definitely wrong
2171	chromosome translocation 2	FALSE	definitely wrong
2171	chromosome translocation 9	FALSE	definitely wrong
2171	chromosome translocation 22	FALSE	definitely wrong
		Overall	definitely wrong	these are all diff types of translocations
		
